Sample in Buffer,Sample in Window,TRIGGER,design_1_i/encoder_counter_0_counter[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
816,816,0,80
817,817,0,80
818,818,0,80
819,819,0,80
820,820,0,80
821,821,0,80
822,822,0,80
823,823,0,80
824,824,0,80
825,825,0,80
826,826,0,80
827,827,0,80
828,828,0,80
829,829,0,80
830,830,0,80
831,831,0,80
832,832,0,80
833,833,0,80
834,834,0,80
835,835,0,80
836,836,0,80
837,837,0,80
838,838,0,80
839,839,0,80
840,840,0,80
841,841,0,80
842,842,0,80
843,843,0,80
844,844,0,80
845,845,0,80
846,846,0,80
847,847,0,80
848,848,0,80
849,849,0,80
850,850,0,80
851,851,0,80
852,852,0,80
853,853,0,80
854,854,0,80
855,855,0,80
856,856,0,80
857,857,0,80
858,858,0,80
859,859,0,80
860,860,0,80
861,861,0,80
862,862,0,80
863,863,0,80
864,864,0,80
865,865,0,80
866,866,0,80
867,867,0,80
868,868,0,80
869,869,0,80
870,870,0,80
871,871,0,80
872,872,0,80
873,873,0,80
874,874,0,80
875,875,0,80
876,876,0,80
877,877,0,80
878,878,0,80
879,879,0,80
880,880,0,80
881,881,0,80
882,882,0,80
883,883,0,80
884,884,0,80
885,885,0,80
886,886,0,80
887,887,0,80
888,888,0,80
889,889,0,80
890,890,0,80
891,891,0,80
892,892,0,80
893,893,0,80
894,894,0,80
895,895,0,80
896,896,0,80
897,897,0,80
898,898,0,80
899,899,0,80
900,900,0,80
901,901,0,80
902,902,0,80
903,903,0,80
904,904,0,80
905,905,0,80
906,906,0,80
907,907,0,80
908,908,0,80
909,909,0,80
910,910,0,80
911,911,0,80
912,912,0,80
913,913,0,80
914,914,0,80
915,915,0,80
916,916,0,80
917,917,0,80
918,918,0,80
919,919,0,80
920,920,0,80
921,921,0,80
922,922,0,80
923,923,0,80
924,924,0,80
925,925,0,80
926,926,0,80
927,927,0,80
928,928,0,80
929,929,0,80
930,930,0,80
931,931,0,80
932,932,0,80
933,933,0,80
934,934,0,80
935,935,0,80
936,936,0,80
937,937,0,80
938,938,0,80
939,939,0,80
940,940,0,80
941,941,0,80
942,942,0,80
943,943,0,80
944,944,0,80
945,945,0,80
946,946,0,80
947,947,0,80
948,948,0,80
949,949,0,80
950,950,0,80
951,951,0,80
952,952,0,80
953,953,0,80
954,954,0,80
955,955,0,80
956,956,0,80
957,957,0,80
958,958,0,80
959,959,0,80
960,960,0,80
961,961,0,80
962,962,0,80
963,963,0,80
964,964,0,80
965,965,0,80
966,966,0,80
967,967,0,80
968,968,0,80
969,969,0,80
970,970,0,80
971,971,0,80
972,972,0,80
973,973,0,80
974,974,0,80
975,975,0,80
976,976,0,80
977,977,0,80
978,978,0,80
979,979,0,80
980,980,0,80
981,981,0,80
982,982,0,80
983,983,0,80
984,984,0,80
985,985,0,80
986,986,0,80
987,987,0,80
988,988,0,80
989,989,0,80
990,990,0,80
991,991,0,80
992,992,0,80
993,993,0,80
994,994,0,80
995,995,0,80
996,996,0,80
997,997,0,80
998,998,0,80
999,999,0,80
1000,1000,0,80
1001,1001,0,80
1002,1002,0,80
1003,1003,0,80
1004,1004,0,80
1005,1005,0,80
1006,1006,0,80
1007,1007,0,80
1008,1008,0,80
1009,1009,0,80
1010,1010,0,80
1011,1011,0,80
